filename,detected_streaks,proc_time_ms,status
1748.fits,3,61.05,OK
1749.fits,4,60.40,OK
175.fits,3,59.64,OK
1750.fits,3,61.94,OK
1751.fits,2,65.79,OK
1752.fits,2,56.58,OK
1753.fits,3,63.10,OK
1754.fits,1,60.60,OK
1755.fits,4,65.99,OK
1756.fits,4,64.34,OK
1757.fits,4,65.28,OK
1758.fits,2,68.11,OK
1759.fits,7,67.19,OK
176.fits,2,66.07,OK
1760.fits,2,59.89,OK
1761.fits,5,65.48,OK
1762.fits,6,83.54,OK
1763.fits,4,67.94,OK
1764.fits,6,69.50,OK
1765.fits,16,73.20,OK
1766.fits,4,66.56,OK
1767.fits,6,65.80,OK
1768.fits,4,67.81,OK
1769.fits,1,60.49,OK
177.fits,8,66.15,OK
1770.fits,2,66.29,OK
1771.fits,3,65.00,OK
1772.fits,4,54.14,OK
1773.fits,5,68.08,OK
1774.fits,1,57.22,OK
1775.fits,7,64.32,OK
1776.fits,5,57.25,OK
1777.fits,1,54.68,OK
1778.fits,2,69.06,OK
1779.fits,9,65.34,OK
178.fits,6,63.18,OK
1780.fits,3,62.31,OK
1781.fits,3,62.82,OK
1782.fits,7,61.17,OK
1783.fits,5,64.01,OK
1784.fits,4,62.54,OK
1785.fits,3,63.74,OK
1786.fits,6,67.23,OK
1787.fits,3,59.76,OK
1788.fits,8,70.01,OK
1789.fits,1,67.65,OK
179.fits,5,58.94,OK
1790.fits,2,57.81,OK
1791.fits,5,68.49,OK
1792.fits,5,63.22,OK
1793.fits,1,62.74,OK
1794.fits,4,63.04,OK
1795.fits,3,59.93,OK
1796.fits,6,65.01,OK
1797.fits,9,66.06,OK
1798.fits,3,61.46,OK
1799.fits,4,69.52,OK
18.fits,7,65.06,OK
180.fits,3,60.92,OK
1800.fits,4,65.57,OK
1801.fits,3,65.20,OK
1802.fits,3,60.37,OK
1803.fits,2,65.85,OK
1804.fits,1,53.50,OK
1805.fits,1,59.85,OK
1806.fits,2,62.29,OK
1807.fits,5,62.96,OK
1808.fits,4,66.11,OK
1809.fits,2,67.74,OK
181.fits,9,67.49,OK
1810.fits,3,63.50,OK
1811.fits,3,62.76,OK
1812.fits,4,54.44,OK
1813.fits,4,61.98,OK
1814.fits,3,60.18,OK
1815.fits,10,61.16,OK
1816.fits,7,67.24,OK
1817.fits,1,63.60,OK
1818.fits,4,63.77,OK
1819.fits,3,61.20,OK
182.fits,1,60.82,OK
1820.fits,5,62.78,OK
1821.fits,3,67.29,OK
1822.fits,4,61.64,OK
1823.fits,5,58.47,OK
1824.fits,5,68.97,OK
1825.fits,2,58.81,OK
1826.fits,4,67.25,OK
1827.fits,1,59.74,OK
1828.fits,1,64.40,OK
1829.fits,4,68.19,OK
183.fits,2,61.93,OK
1830.fits,1,62.45,OK
1831.fits,6,67.15,OK
1832.fits,5,62.81,OK
1833.fits,16,74.04,OK
1834.fits,3,72.49,OK
1835.fits,8,64.66,OK
